Page Views,Visits,Email Click,Average Page Depth,Make An Appointment
40375,15101,121,4.35,549
37347,15213,84,4.45,462
36557,14768,88,5.43,373
30495,13106,71,4.03,385
17581,8246,43,3.48,183
19070,9078,44,3.44,241
40071,15987,131,4.06,491
44790,15099,102,5.95,481
43392,15236,68,5.04,451
44300,14470,73,5.77,413
31698,12786,64,3.86,346
16465,7938,58,2.98,186
18673,8846,51,3.02,211
43885,15374,89,5.19,537
44112,15166,116,5.12,451
43646,14961,90,5.61,432
37315,14242,75,5.83,411
32253,12526,64,7.41,359
15927,7731,34,3.82,216
18811,8834,67,3.75,224
41315,15148,100,6.91,502
40461,14487,71,5.68,421
39097,13724,69,5.69,366
34480,13410,69,4.33,375
27600,11393,51,5.16,334
14640,7073,38,3.23,192
16177,7782,41,4.22,195
39401,14939,69,4.92,553
37527,15004,77,4.43,458
42309,14969,118,5.02,462
33859,14787,94,3.88,383
28016,12806,100,3.76,363
16026,8015,37,3.98,167
17486,8713,36,3.21,221
36477,15465,104,3.62,527
38581,15717,96,4.09,449
34660,15266,79,4.24,423
39499,14453,54,5.74,506
35396,12816,50,6.17,375
17505,8071,53,3.79,196
20990,9360,60,4.73,295
40956,16184,67,3.92,562
40700,16171,74,3.91,447
39510,16506,89,4.1,454
44725,16576,70,5.08,453
29722,13458,38,3.31,364
16300,7821,21,3.32,194
17447,8780,30,2.69,196
40737,16755,66,4.17,583
36428,16275,59,3.46,465
35789,15704,66,13.64,819
33707,15106,52,4.09,434
30254,13820,89,4.06,373
17053,8570,34,2.85,185
21468,11794,32,2.64,252
38627,17778,78,3.41,581
36480,15985,60,3.54,486
37598,15764,87,4.36,432
33735,15201,63,3.97,443
28507,12792,78,4.08,400
15889,7766,33,3.38,193
17773,8788,26,3.31,225
39770,16341,60,3.79,572
37123,16506,76,3.63,488
41249,16199,53,5.16,487
37410,15155,63,4.38,441
30806,12907,55,3.72,374
15824,7495,27,3.71,203
17252,8184,33,4.26,216
38780,16104,88,6.03,612
45316,15693,78,6.36,516
36788,15201,56,5.56,475
35922,14585,62,4.23,375
29228,12877,52,3.46,339
16216,7534,37,4.57,204
17904,8568,45,3.75,225
45935,15836,73,5.67,619
40204,15321,93,4.68,480
42113,14540,95,6.42,418
42128,14004,35,6.59,423
30239,11892,17,4.62,339
15013,6998,16,3.22,193
17896,7936,10,6.69,229
41214,14939,54,5.15,608
33796,14011,29,4.05,442
37369,13859,38,5.40,475
35897,13029,31,4.68,469
28180,11152,23,4.15,330
13193,6192,19,3.68,172
13486,6377,14,3.95,175
18671,7883,14,4.17,237
40429,14595,33,5.11,589